Objekt,X,Y,Razdalja_mm,X3D,Y3D,Z3D,ÄŒas
banana,337,517,1207000,,,,10:52:42.499941
pomaranca,337,515,1206000,,,,10:52:42.500570
limona,473,193,1713000,,,,10:52:53.875335
jabolka,1172,82,6550000,,,,10:53:12.605356
jabolka,385,632,1769000,,,,10:53:14.151109
jabolka,372,593,1050000,,,,10:53:14.197719
jabolka,353,538,1047000,,,,10:53:14.287561
jabolka,358,519,1081000,,,,10:53:14.334012
jabolka,358,568,1066000,,,,10:53:14.381437
jabolka,20,316,5225000,,,,10:53:15.882764
pomaranca,834,275,538000,,,,10:53:16.955665
pomaranca,861,280,544000,,,,10:53:17.001409
pomaranca,847,282,547000,,,,10:53:17.047895
pomaranca,854,286,551000,,,,10:53:17.094645
pomaranca,868,296,565000,,,,10:53:17.140195
banana,544,675,504000,,,,10:53:17.140611
pomaranca,866,293,551000,,,,10:53:17.185807
pomaranca,874,297,557000,,,,10:53:17.230868
pomaranca,878,296,552000,,,,10:53:17.276350
pomaranca,883,297,540000,,,,10:53:17.325866
pomaranca,896,302,549000,,,,10:53:17.371928
pomaranca,902,301,554000,,,,10:53:17.419198
pomaranca,908,300,558000,,,,10:53:17.465554
pomaranca,907,297,557000,,,,10:53:17.511336
pomaranca,915,295,556000,,,,10:53:17.559856
banana,583,676,516000,,,,10:53:17.560252
pomaranca,923,293,559000,,,,10:53:17.605784
pomaranca,926,293,544000,,,,10:53:17.652713
banana,586,677,555500,,,,10:53:17.653197
pomaranca,929,299,581000,,,,10:53:17.698866
banana,590,678,575000,,,,10:53:17.699267
pomaranca,929,297,602000,,,,10:53:17.744655
banana,593,679,633000,,,,10:53:17.745034
pomaranca,646,258,1363000,,,,10:53:18.488757
pomaranca,652,260,1335000,,,,10:53:18.535311
pomaranca,647,256,1283000,,,,10:53:18.581803
pomaranca,641,247,1333000,,,,10:53:18.630289
banana,547,676,629000,,,,10:53:19.362928
pomaranca,667,22,6389000,,,,10:53:20.802384
pomaranca,668,25,6741000,,,,10:53:20.849226
pomaranca,819,306,1316000,,,,10:53:27.254748
pomaranca,814,285,1272000,,,,10:53:27.431126
pomaranca,815,284,1262500,,,,10:53:27.478889
pomaranca,818,283,1290500,,,,10:53:27.567212
pomaranca,818,283,1260000,,,,10:53:27.617473
pomaranca,819,282,1257000,,,,10:53:27.664986
pomaranca,750,592,493000,,,,10:53:27.665353
banana,749,591,528000,,,,10:53:27.665645
pomaranca,781,572,491000,,,,10:53:27.713148
pomaranca,819,282,1275000,,,,10:53:27.713520
pomaranca,820,280,1266000,,,,10:53:27.758664
pomaranca,828,276,1275000,,,,10:53:27.804361
pomaranca,857,275,1287000,,,,10:53:27.853616
pomaranca,96,323,6866500,,,,10:53:30.438650
pomaranca,186,296,2565000,,,,10:53:31.474776
pomaranca,185,614,3661000,,,,10:53:31.805043
pomaranca,252,613,2169000,,,,10:53:31.853100
pomaranca,471,651,3450000,,,,10:53:33.588039
banana,1006,388,559000,,,,10:53:40.809920
banana,700,679,578000,,,,10:53:42.232983
banana,703,680,1624000,,,,10:53:42.282505
banana,715,681,4272000,,,,10:53:42.759874
banana,716,682,1165000,,,,10:53:42.849912
banana,720,676,991500,,,,10:53:43.369249
banana,723,676,1109000,,,,10:53:43.542954
banana,729,672,2795000,,,,10:53:43.974923
banana,729,675,6145000,,,,10:53:44.020447
banana,734,676,1322000,,,,10:53:44.156798
banana,736,670,584500,,,,10:53:44.373412
banana,737,672,4120000,,,,10:53:44.420922
banana,722,677,565500,,,,10:53:46.054627
banana,724,676,838500,,,,10:53:46.188103
banana,723,675,583000,,,,10:53:46.236059
banana,728,678,5974000,,,,10:53:46.491425
banana,728,679,1033000,,,,10:53:46.580127
banana,728,679,1117000,,,,10:53:46.753680
banana,733,676,518000,,,,10:53:46.797553
banana,728,678,542000,,,,10:53:46.846346
pomaranca,821,276,1262000,,,,10:53:47.617307
pomaranca,821,274,1272500,,,,10:53:47.663423
banana,960,387,1012000,,,,10:53:49.586736
banana,971,381,6792000,,,,10:53:50.195311
banana,952,387,490000,,,,10:53:52.594140
banana,500,647,490000,,,,10:53:57.194215
banana,487,643,490000,,,,10:53:57.259527
banana,482,644,493500,,,,10:53:57.377579
banana,483,642,490500,,,,10:53:57.516466
banana,487,643,493000,,,,10:53:57.561235
banana,487,643,491500,,,,10:53:57.614081
banana,488,644,490000,,,,10:53:57.664660
banana,490,642,490000,,,,10:53:57.810385
banana,488,644,491000,,,,10:53:57.949744
banana,488,645,490000,,,,10:53:58.740324
banana,489,644,492000,,,,10:53:58.807316
banana,494,646,490000,,,,10:53:58.959506
jabolka,671,279,2341000,,,,10:53:59.184757
banana,486,647,501000,,,,10:53:59.431241
banana,484,648,492000,,,,10:53:59.484799
banana,484,647,498000,,,,10:53:59.538151
banana,482,645,498500,,,,10:53:59.586755
banana,479,646,496000,,,,10:53:59.676056
banana,477,645,491000,,,,10:53:59.864172
banana,478,645,492000,,,,10:53:59.915779
banana,479,645,494500,,,,10:54:00.021405
banana,479,645,582000,,,,10:54:00.076279
banana,479,646,490000,,,,10:54:00.176929
banana,479,646,502000,,,,10:54:00.323900
banana,480,646,516000,,,,10:54:00.378321
jabolka,662,233,4376000,,,,10:54:01.451742
jabolka,663,233,4447500,,,,10:54:01.564837
jabolka,662,236,8262000,,,,10:54:01.702104
jabolka,661,234,6113000,,,,10:54:01.752433
jabolka,660,233,5209000,,,,10:54:01.802929
banana,417,562,631000,,,,10:54:02.815225
banana,404,544,546000,,,,10:54:02.969419
banana,404,542,556500,,,,10:54:03.016212
banana,405,543,540500,,,,10:54:03.064050
banana,404,544,558000,,,,10:54:03.110381
banana,405,541,559000,,,,10:54:03.156279
banana,406,541,566500,,,,10:54:03.205972
banana,406,540,541000,,,,10:54:03.253490
banana,411,536,549500,,,,10:54:03.477478
banana,412,541,559000,,,,10:54:03.571652
banana,411,543,567000,,,,10:54:03.618363
banana,412,544,547000,,,,10:54:03.667908
banana,410,542,567000,,,,10:54:03.716150
banana,706,659,4148000,,,,10:54:04.956394
banana,708,655,612000,,,,10:54:05.021104
banana,718,654,592000,,,,10:54:05.130970
banana,721,654,679000,,,,10:54:05.224242
banana,724,653,565000,,,,10:54:05.273149
banana,723,654,574000,,,,10:54:05.320646
banana,725,654,588000,,,,10:54:05.370441
banana,725,659,575000,,,,10:54:05.417335
banana,725,660,600000,,,,10:54:05.467187
banana,726,661,600500,,,,10:54:05.514795
banana,718,665,607000,,,,10:54:06.251447
banana,719,663,618000,,,,10:54:06.315385
banana,718,666,578000,,,,10:54:06.366683
banana,715,668,583000,,,,10:54:06.414843
banana,713,667,579000,,,,10:54:06.461120
banana,714,665,587000,,,,10:54:06.507759
banana,712,667,584000,,,,10:54:06.553450
banana,711,667,598000,,,,10:54:06.602424
banana,710,668,627000,,,,10:54:06.649685
banana,710,668,619000,,,,10:54:06.700782
banana,707,668,595000,,,,10:54:06.748845
banana,708,668,614000,,,,10:54:06.799496
banana,708,668,660000,,,,10:54:06.849150
banana,708,668,599000,,,,10:54:06.899833
banana,710,668,600000,,,,10:54:06.991998
banana,712,668,629500,,,,10:54:07.040294
banana,712,670,592000,,,,10:54:07.086731
banana,714,669,595500,,,,10:54:07.134303
banana,714,670,624000,,,,10:54:07.179789
banana,713,670,648000,,,,10:54:07.226152
banana,704,675,622000,,,,10:54:08.012447
banana,705,671,590500,,,,10:54:08.070785
banana,701,672,584000,,,,10:54:08.153919
banana,703,674,583000,,,,10:54:08.203030
jabolka,636,229,3842000,,,,10:54:08.203407
banana,702,673,579000,,,,10:54:08.249572
banana,701,674,565000,,,,10:54:08.299838
banana,699,675,586000,,,,10:54:08.349135
banana,700,675,582000,,,,10:54:08.399164
banana,699,673,601500,,,,10:54:08.447366
banana,698,671,573000,,,,10:54:08.496170
banana,699,672,572000,,,,10:54:08.546250
banana,698,674,593000,,,,10:54:08.593868
banana,697,677,623500,,,,10:54:08.641659
banana,697,672,598000,,,,10:54:08.688907
banana,696,673,578000,,,,10:54:08.738415
banana,695,675,595000,,,,10:54:08.785153
banana,695,677,611000,,,,10:54:08.833524
banana,696,678,606000,,,,10:54:08.881620
banana,722,689,3184000,,,,10:54:10.298163
pomaranca,964,244,491000,,,,10:54:11.425630
banana,730,689,538000,,,,10:54:12.285921
banana,729,689,532000,,,,10:54:12.349926
banana,728,689,594000,,,,10:54:12.401802
banana,753,672,1864000,,,,10:54:13.248835
banana,756,672,660000,,,,10:54:13.309340
banana,754,672,679000,,,,10:54:13.406974
banana,757,673,585000,,,,10:54:13.541388
banana,760,672,842500,,,,10:54:13.634290
banana,758,673,635000,,,,10:54:13.682638
banana,759,673,620000,,,,10:54:13.732102
banana,761,673,685500,,,,10:54:13.779468
banana,760,673,637000,,,,10:54:13.827166
pomaranca,793,162,1180000,,,,10:54:13.828622
banana,760,672,612000,,,,10:54:13.875215
banana,762,670,636000,,,,10:54:13.922496
banana,761,669,651000,,,,10:54:13.969720
banana,763,670,619000,,,,10:54:14.015057
banana,765,670,608000,,,,10:54:14.064024
banana,765,670,649500,,,,10:54:14.111519
banana,753,674,676000,,,,10:54:14.944975
banana,748,678,625000,,,,10:54:15.004016
banana,739,676,640000,,,,10:54:15.053228
banana,740,676,647000,,,,10:54:15.101648
banana,737,675,676000,,,,10:54:15.149141
banana,737,675,662000,,,,10:54:15.199152
banana,735,675,687000,,,,10:54:15.244367
banana,737,676,856000,,,,10:54:15.293055
banana,738,676,3066000,,,,10:54:15.342241
banana,738,676,679000,,,,10:54:15.391055
banana,739,672,1120000,,,,10:54:15.522343
banana,738,672,708000,,,,10:54:15.569509
banana,738,672,662000,,,,10:54:15.618055
banana,738,673,663000,,,,10:54:15.667590
banana,741,677,697000,,,,10:54:15.761581
banana,736,680,698000,,,,10:54:16.663920
banana,736,680,644500,,,,10:54:16.722361
banana,740,680,656000,,,,10:54:16.771403
banana,739,679,624000,,,,10:54:16.820014
banana,734,681,798000,,,,10:54:16.868815
banana,730,677,587000,,,,10:54:16.917527
banana,729,674,624000,,,,10:54:16.965886
banana,725,671,603000,,,,10:54:17.014498
banana,725,670,624000,,,,10:54:17.064239
banana,726,668,642000,,,,10:54:17.111431
banana,726,666,659000,,,,10:54:17.161816
banana,730,666,700500,,,,10:54:17.209009
banana,730,667,617000,,,,10:54:17.259299
banana,734,668,615000,,,,10:54:17.306790
banana,737,668,645000,,,,10:54:17.354045
banana,739,669,610000,,,,10:54:17.402430
banana,1129,372,496000,,,,10:54:17.402766
banana,736,668,625500,,,,10:54:17.448602
banana,737,667,647000,,,,10:54:17.498395
banana,739,667,691000,,,,10:54:17.545485
banana,752,660,697000,,,,10:54:18.329909
banana,752,658,641000,,,,10:54:18.388743
banana,755,660,631000,,,,10:54:18.435281
banana,755,660,603000,,,,10:54:18.484449
banana,755,660,1094000,,,,10:54:18.532546
banana,757,659,676000,,,,10:54:18.579656
banana,757,657,678000,,,,10:54:18.674654
banana,757,656,637000,,,,10:54:18.721402
banana,753,649,1462000,,,,10:54:18.901869
banana,751,648,653000,,,,10:54:18.995703
banana,751,646,642500,,,,10:54:19.043797
banana,750,645,631000,,,,10:54:19.094180
banana,751,645,635000,,,,10:54:19.149284
banana,750,643,693000,,,,10:54:19.201074
banana,750,641,670000,,,,10:54:19.249031
banana,754,634,595000,,,,10:54:19.982874
banana,755,634,579000,,,,10:54:20.054578
banana,754,634,575000,,,,10:54:20.115583
banana,759,634,564000,,,,10:54:20.180069
banana,758,636,568500,,,,10:54:20.240355
banana,761,637,555000,,,,10:54:20.305685
banana,762,638,640000,,,,10:54:20.368526
banana,761,640,603000,,,,10:54:20.473748
banana,763,641,4064000,,,,10:54:20.519481
banana,761,641,581000,,,,10:54:20.564151
banana,763,641,1195000,,,,10:54:20.696395
banana,767,638,605000,,,,10:54:20.742274
banana,770,637,648500,,,,10:54:20.791974
banana,772,635,592000,,,,10:54:20.840418
banana,779,625,705000,,,,10:54:20.973133
banana,777,613,707000,,,,10:54:21.726687
banana,778,614,663000,,,,10:54:21.773836
banana,777,614,612000,,,,10:54:21.825077
banana,779,614,622000,,,,10:54:21.873417
banana,776,615,607000,,,,10:54:21.922219
banana,777,616,671000,,,,10:54:21.968464
banana,777,617,763000,,,,10:54:22.015675
banana,777,617,819000,,,,10:54:22.062942
banana,775,621,841000,,,,10:54:22.153661
banana,778,627,602000,,,,10:54:22.332317
banana,775,629,601000,,,,10:54:22.425060
banana,773,631,711000,,,,10:54:22.470657
banana,773,631,653000,,,,10:54:22.520136
banana,770,632,601500,,,,10:54:22.568336
banana,768,632,628000,,,,10:54:22.617397
banana,767,634,644000,,,,10:54:22.664409
banana,767,634,661000,,,,10:54:22.709935
banana,763,639,624000,,,,10:54:23.470075
banana,762,639,625000,,,,10:54:23.517259
banana,759,639,599000,,,,10:54:23.565725
banana,757,636,598000,,,,10:54:23.613767
banana,757,635,577500,,,,10:54:23.665357
banana,755,633,567000,,,,10:54:23.712105
banana,755,632,595000,,,,10:54:23.762243
banana,751,630,572000,,,,10:54:23.808493
banana,750,631,534000,,,,10:54:23.858765
banana,750,629,584000,,,,10:54:23.906356
banana,751,627,546000,,,,10:54:23.954921
banana,753,627,561000,,,,10:54:24.001343
banana,754,628,504000,,,,10:54:24.049924
banana,757,629,525000,,,,10:54:24.099586
banana,761,628,625000,,,,10:54:24.145429
banana,762,628,524000,,,,10:54:24.193985
banana,763,629,565000,,,,10:54:24.327867
banana,763,630,583000,,,,10:54:24.374452
banana,763,631,589000,,,,10:54:24.423781
banana,767,641,681000,,,,10:54:25.261422
banana,766,642,678000,,,,10:54:25.308353
banana,762,645,756000,,,,10:54:25.356870
banana,765,649,675500,,,,10:54:25.402663
banana,738,657,3869000,,,,10:54:25.582812
pomaranca,767,179,1274000,,,,10:54:25.583174
pomaranca,768,179,1211000,,,,10:54:25.631133
pomaranca,768,179,1187000,,,,10:54:25.723667
banana,722,656,689000,,,,10:54:25.768580
pomaranca,770,179,1515000,,,,10:54:25.768945
jabolka,633,253,3315000,,,,10:54:25.769222
jabolka,636,250,5537000,,,,10:54:25.816694
banana,720,657,1126000,,,,10:54:25.865024
banana,721,656,610000,,,,10:54:25.957039
pomaranca,770,177,1174000,,,,10:54:25.957394
banana,722,655,634500,,,,10:54:26.003796
pomaranca,770,177,1186000,,,,10:54:26.004139
banana,725,655,662000,,,,10:54:26.049616
pomaranca,772,176,1199000,,,,10:54:26.049947
banana,730,655,610500,,,,10:54:26.096093
pomaranca,770,176,1185000,,,,10:54:26.096465
banana,736,655,669000,,,,10:54:26.142935
pomaranca,770,177,1202000,,,,10:54:26.143281
banana,741,654,675000,,,,10:54:26.193394
pomaranca,773,177,1208000,,,,10:54:26.193799
banana,728,657,615000,,,,10:54:26.943718
banana,728,655,567000,,,,10:54:26.992202
banana,728,655,582000,,,,10:54:27.038488
banana,729,657,580000,,,,10:54:27.085362
banana,733,657,581000,,,,10:54:27.130306
banana,735,658,638000,,,,10:54:27.177682
banana,740,658,592000,,,,10:54:27.226893
banana,747,661,592000,,,,10:54:27.273394
banana,749,662,619000,,,,10:54:27.323910
banana,754,664,1239500,,,,10:54:27.371416
banana,755,664,628000,,,,10:54:27.422700
banana,762,666,607000,,,,10:54:27.565209
banana,766,666,633000,,,,10:54:27.657669
banana,769,667,626500,,,,10:54:27.748359
banana,769,667,930000,,,,10:54:27.795455
banana,766,667,648000,,,,10:54:27.886075
banana,758,667,607500,,,,10:54:28.723550
banana,755,667,643000,,,,10:54:28.772068
banana,753,668,3671000,,,,10:54:28.823859
banana,744,667,1008000,,,,10:54:28.915090
banana,737,666,1123000,,,,10:54:29.005288
banana,738,666,3891000,,,,10:54:29.098291
banana,739,666,3405000,,,,10:54:29.146253
banana,740,666,1633000,,,,10:54:29.194392
banana,742,667,5518000,,,,10:54:29.241482
banana,744,667,1348000,,,,10:54:29.334865
banana,744,667,690000,,,,10:54:29.431012
banana,745,667,496000,,,,10:54:29.566868
banana,748,666,603000,,,,10:54:30.415193
banana,750,667,640500,,,,10:54:30.465430
banana,750,667,600000,,,,10:54:30.517274
banana,749,668,666000,,,,10:54:30.563961
banana,747,668,1051000,,,,10:54:30.612508
banana,747,668,1506000,,,,10:54:30.659184
banana,747,667,644500,,,,10:54:30.704409
banana,746,667,603000,,,,10:54:30.754756
banana,747,668,604000,,,,10:54:30.801877
banana,747,668,630000,,,,10:54:30.849974
banana,747,668,736000,,,,10:54:30.938618
banana,743,668,590000,,,,10:54:31.074133
banana,743,667,638000,,,,10:54:31.122629
banana,739,667,581500,,,,10:54:31.213834
banana,758,667,1172000,,,,10:54:33.799905
banana,750,666,817000,,,,10:54:33.890872
banana,750,667,8465000,,,,10:54:34.197882
banana,753,666,1237000,,,,10:54:34.423567
banana,753,665,1181000,,,,10:54:34.510686
banana,751,665,598000,,,,10:54:34.602874
banana,758,666,796000,,,,10:54:35.453676
banana,759,666,653000,,,,10:54:35.501051
banana,758,665,651000,,,,10:54:35.637642
banana,757,665,632000,,,,10:54:35.686678
banana,758,665,805000,,,,10:54:35.734806
banana,758,665,637000,,,,10:54:35.873531
banana,756,664,624000,,,,10:54:36.174178
banana,757,664,789500,,,,10:54:36.223821
banana,757,664,660500,,,,10:54:36.273009
banana,757,663,644000,,,,10:54:36.320657
banana,759,664,629000,,,,10:54:36.366113
banana,759,665,648000,,,,10:54:36.412064
jabolka,381,101,4047500,,,,10:54:37.707892
jabolka,434,107,4646000,,,,10:54:37.973778
jabolka,482,120,2319000,,,,10:54:39.296465
jabolka,482,120,7814000,,,,10:54:39.389595
pomaranca,715,108,7755000,,,,10:54:46.198205
pomaranca,746,90,2732500,,,,10:54:46.472081
jabolka,610,322,2315000,,,,10:54:46.564029
pomaranca,729,87,3897500,,,,10:54:46.703266
pomaranca,683,93,6792000,,,,10:54:48.122369
pomaranca,682,94,7092000,,,,10:54:48.169924
pomaranca,712,95,6579000,,,,10:54:48.305511
pomaranca,756,249,1158000,,,,10:54:50.125474
pomaranca,755,250,1194000,,,,10:54:50.174263
pomaranca,757,251,1707000,,,,10:54:50.265360
pomaranca,756,249,1192000,,,,10:54:50.315188
pomaranca,756,249,1155000,,,,10:54:50.361224
pomaranca,755,251,1171500,,,,10:54:50.412410
pomaranca,755,249,1194500,,,,10:54:50.459741
pomaranca,755,250,1233000,,,,10:54:50.509122
jabolka,133,187,552000,,,,10:54:51.121688
pomaranca,539,133,2582000,,,,10:54:53.336244
pomaranca,536,134,5532000,,,,10:54:53.382718
pomaranca,535,133,4201000,,,,10:54:53.477113
pomaranca,528,182,3845000,,,,10:54:53.524022
pomaranca,532,176,1330000,,,,10:54:53.831879
pomaranca,534,175,1258000,,,,10:54:53.922537
pomaranca,531,173,1491000,,,,10:54:53.969700
pomaranca,535,171,1312000,,,,10:54:54.928821
pomaranca,536,173,1230000,,,,10:54:55.022913
pomaranca,534,171,1220000,,,,10:54:55.074255
pomaranca,532,171,1218000,,,,10:54:55.121863
pomaranca,531,171,1213500,,,,10:54:55.168927
pomaranca,536,173,1202000,,,,10:54:55.352240
pomaranca,535,171,1281000,,,,10:54:55.397941
pomaranca,531,167,2403000,,,,10:54:55.622029
