Objekt,Začetni_X,Začetni_Y,Končni_X,Končni_Y,Začetni_čas,Končni_čas
orange_cone,587,441,630,404,12:49:50.128634,12:49:50.291874
blue_cone,517,343,507,343,12:49:50.628364,12:49:50.661289
orange_cone,627,343,617,336,12:49:50.660640,12:49:50.736461
orange_cone,621,430,616,417,12:49:50.700400,12:49:50.769777
orange_cone,559,330,559,330,12:49:50.869134,12:49:50.902011
orange_cone,512,337,512,337,12:49:51.497913,12:49:51.525792
yellow_cone,621,436,618,431,12:49:51.497821,12:49:51.561767
orange_cone,526,424,528,439,12:49:51.525062,12:49:51.596976
orange_cone,471,463,471,463,12:49:51.560975,12:49:51.596990
orange_cone,516,350,523,373,12:49:51.560866,12:49:51.630416
orange_cone,622,374,499,433,12:49:50.560621,12:49:51.696746
blue_cone,503,334,521,375,12:49:51.696052,12:49:51.763120
blue_cone,189,356,189,356,12:49:56.653394,12:49:56.721548
blue_cone,509,346,512,347,12:49:57.221828,12:49:57.322992
orange_cone,201,356,201,356,12:49:57.287204,12:49:57.356177
orange_cone,202,356,202,356,12:49:57.454530,12:49:57.487850
orange_cone,613,344,613,344,12:49:57.487115,12:49:57.520163
orange_cone,189,356,189,356,12:49:57.648763,12:49:57.680050
blue_cone,518,354,519,344,12:49:57.355454,12:49:57.816281
orange_cone,628,410,628,410,12:49:57.885934,12:49:57.919898
orange_cone,627,304,613,306,12:49:57.885829,12:49:57.989559
orange_cone,621,389,621,389,12:49:57.955779,12:49:57.989575
orange_cone,591,305,580,296,12:49:58.022018,12:49:58.056292
yellow_cone,616,429,616,429,12:49:58.218564,12:49:58.250907
yellow_cone,623,433,623,433,12:49:58.285108,12:49:58.317370
yellow_cone,627,436,621,436,12:49:58.486908,12:49:58.549560
orange_cone,517,305,517,305,12:49:58.548916,12:49:58.584517
orange_cone,620,355,469,349,12:49:57.648671,12:49:58.617082
orange_cone,471,347,471,347,12:49:58.651846,12:49:58.684755
yellow_cone,624,436,623,436,12:49:58.616415,12:49:58.817121
orange_cone,473,345,460,336,12:49:58.716398,12:49:59.077613
yellow_cone,617,435,621,436,12:49:58.850749,12:49:59.443660
orange_cone,439,336,439,336,12:49:59.247837,12:49:59.675688
yellow_cone,617,436,622,436,12:49:59.479309,12:49:59.712568
orange_cone,439,336,437,337,12:49:59.747057,12:49:59.815993
yellow_cone,625,436,620,436,12:49:59.815107,12:49:59.881975
orange_cone,439,337,438,338,12:49:59.881063,12:49:59.951555
yellow_cone,621,435,622,436,12:49:59.914970,12:50:00.020505
orange_cone,439,338,439,339,12:49:59.985549,12:50:00.085078
yellow_cone,623,436,618,436,12:50:00.051711,12:50:00.149976
orange_cone,439,338,442,341,12:50:00.116365,12:50:00.383187
orange_cone,443,341,443,341,12:50:00.414829,12:50:00.448079
yellow_cone,618,436,614,435,12:50:00.182125,12:50:00.709047
orange_cone,444,338,466,400,12:50:00.544636,12:50:00.774350
blue_cone,506,348,506,348,12:50:00.845718,12:50:00.877787
yellow_cone,625,436,625,436,12:50:01.804260,12:50:01.835030
yellow_cone,629,436,629,436,12:50:02.268027,12:50:02.302438
blue_cone,518,355,515,327,12:50:02.702731,12:50:02.804001
orange_cone,587,455,573,461,12:50:02.967196,12:50:03.039280
orange_cone,629,329,608,333,12:50:02.935774,12:50:03.075029
orange_cone,560,462,560,462,12:50:03.074304,12:50:03.108025
orange_cone,590,330,590,330,12:50:03.177269,12:50:03.210513
orange_cone,631,426,608,425,12:50:02.967096,12:50:03.244615
orange_cone,583,327,575,324,12:50:03.243933,12:50:03.376045
orange_cone,585,332,585,332,12:50:03.441497,12:50:03.476240
orange_cone,584,331,583,333,12:50:03.506916,12:50:03.574933
orange_cone,583,335,583,335,12:50:03.674587,12:50:03.708173
orange_cone,596,413,593,418,12:50:03.375327,12:50:03.774878
orange_cone,591,414,590,418,12:50:03.839414,12:50:03.970658
orange_cone,566,323,566,323,12:50:03.938454,12:50:03.970674
orange_cone,582,415,582,415,12:50:04.307209,12:50:04.340153
orange_cone,571,419,567,417,12:50:04.500724,12:50:04.563688
orange_cone,565,420,565,420,12:50:04.637402,12:50:04.695541
orange_cone,540,421,540,421,12:50:05.463392,12:50:05.497143
orange_cone,356,285,352,288,12:50:05.496236,12:50:05.628750
yellow_cone,619,416,619,416,12:50:05.667029,12:50:05.700136
orange_cone,514,340,514,340,12:50:05.667136,12:50:05.700148
orange_cone,349,305,349,305,12:50:05.733537,12:50:05.768725
orange_cone,353,302,353,302,12:50:05.932477,12:50:05.965188
yellow_cone,622,436,625,436,12:50:05.868388,12:50:06.097605
orange_cone,593,435,435,371,12:50:02.667040,12:50:06.134617
yellow_cone,626,436,626,436,12:50:06.133946,12:50:06.167080
orange_cone,424,374,424,374,12:50:06.200586,12:50:06.237472
yellow_cone,626,436,626,436,12:50:06.690718,12:50:06.727791
yellow_cone,625,436,625,436,12:50:06.762984,12:50:06.798241
yellow_cone,622,436,622,436,12:50:06.867112,12:50:06.900848
blue_cone,492,278,489,278,12:50:06.968237,12:50:07.036477
yellow_cone,627,436,627,436,12:50:07.002491,12:50:07.036492
orange_cone,398,469,398,469,12:50:07.132454,12:50:07.168354
blue_cone,487,278,484,290,12:50:07.066980,12:50:07.233999
orange_cone,443,448,443,448,12:50:07.333709,12:50:07.370036
yellow_cone,628,436,628,436,12:50:07.333603,12:50:07.403102
blue_cone,484,311,481,326,12:50:07.301078,12:50:07.501562
orange_cone,472,285,472,285,12:50:07.599842,12:50:07.631918
yellow_cone,135,312,135,312,12:50:07.864878,12:50:07.900589
orange_cone,448,284,444,281,12:50:08.061351,12:50:08.188342
blue_cone,149,353,149,353,12:50:08.229267,12:50:08.262072
yellow_cone,429,289,429,293,12:50:08.464296,12:50:08.530328
orange_cone,414,373,326,409,12:50:06.298775,12:50:08.597530
yellow_cone,133,341,133,341,12:50:08.596730,12:50:08.630805
orange_cone,329,411,320,413,12:50:08.630019,12:50:08.727833
orange_cone,419,354,419,354,12:50:08.795873,12:50:08.828596
orange_cone,319,419,318,417,12:50:08.796051,12:50:08.988059
orange_cone,396,361,396,361,12:50:09.288302,12:50:09.321588
yellow_cone,625,435,624,436,12:50:10.751621,12:50:10.823978
yellow_cone,621,435,621,435,12:50:10.856987,12:50:10.893028
blue_cone,206,338,206,338,12:50:11.091689,12:50:11.123685
blue_cone,208,332,211,345,12:50:11.191568,12:50:11.349198
blue_cone,129,342,129,342,12:50:11.984811,12:50:12.017922
blue_cone,449,301,449,301,12:50:12.746290,12:50:12.780259
blue_cone,446,300,446,300,12:50:12.816195,12:50:12.849423
blue_cone,169,348,169,348,12:50:13.375760,12:50:13.413760
blue_cone,432,249,428,250,12:50:13.212704,12:50:13.546226
orange_cone,431,253,431,254,12:50:13.620590,12:50:13.681346
blue_cone,430,253,431,253,12:50:13.853475,12:50:13.911998
yellow_cone,28,357,28,333,12:50:14.085261,12:50:14.153770
yellow_cone,32,374,32,376,12:50:14.249479,12:50:14.317459
yellow_cone,32,382,32,382,12:50:14.349912,12:50:14.385173
blue_cone,425,253,402,253,12:50:14.118268,12:50:14.416855
yellow_cone,35,366,35,366,12:50:15.249489,12:50:15.282132
yellow_cone,29,356,29,356,12:50:16.081401,12:50:16.114394
yellow_cone,197,314,197,314,12:50:18.594674,12:50:18.625840
orange_cone,29,321,29,321,12:50:18.594548,12:50:18.625852
yellow_cone,318,332,311,333,12:50:18.377575,12:50:18.684855
orange_cone,33,319,33,322,12:50:18.744105,12:50:18.836095
orange_cone,33,322,33,322,12:50:18.865964,12:50:18.897112
orange_cone,277,283,277,283,12:50:18.995978,12:50:19.030781
orange_cone,33,319,32,321,12:50:18.961344,12:50:19.030798
orange_cone,33,321,33,321,12:50:19.094557,12:50:19.122862
